t	x0	y0	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15
0.47	0.952633	-0.0722003	1.05423	0.917615	1.92087	-0.220584	2.07737	0.763784	2.90151	-0.401466	3.07685	0.579728	3.8941	-0.585545	4.06361	0.39672	4.89625	-0.752439	5.04682	0.232819	5.90299	-0.894636	6.03259	0.0939742	6.90994	-1.01498	7.02312	-0.0245447	7.91386	-1.1226	8.01822	-0.128071
0.48	0.951659	-0.0745758	1.05534	0.914917	1.91959	-0.225347	2.07866	0.758403	2.8995	-0.409034	3.07847	0.571349	3.89073	-0.597435	4.06562	0.383686	4.89116	-0.770621	5.04914	0.213356	5.8961	-0.921546	6.03494	0.0655787	6.9015	-1.05229	7.02527	-0.0633121	7.90406	-1.17153	8.01989	-0.178355
0.49	0.950815	-0.0765617	1.05645	0.912575	1.91838	-0.229732	2.08009	0.753364	2.89764	-0.416255	3.08019	0.563305	3.88748	-0.608806	4.06781	0.371112	4.88592	-0.78859	5.05172	0.193994	5.88892	-0.948697	6.03742	0.0367642	6.89271	-1.09023	7.02733	-0.102878	7.89378	-1.22139	8.0213	-0.229766
0.5	0.950136	-0.0779287	1.0576	0.910776	1.91723	-0.233638	2.0817	0.748784	2.89587	-0.42311	3.08208	0.555564	3.88434	-0.619738	4.0702	0.358938	4.88058	-0.806437	5.05453	0.174585	5.88146	-0.976093	6.04005	0.00755825	6.88348	-1.12882	7.02935	-0.143281	7.88299	-1.27215	8.02241	-0.282285
0.51	0.949648	-0.0785997	1.0588	0.909581	1.91618	-0.236953	2.08352	0.744784	2.89415	-0.429543	3.08418	0.548151	3.88123	-0.630365	4.07284	0.347014	4.87522	-0.824237	5.05751	0.155032	5.87376	-1.00373	6.04281	-0.0220226	6.87377	-1.16806	7.03133	-0.184541	7.87169	-1.3238	8.02319	-0.335894
0.52	0.949375	-0.0786638	1.05998	0.908926	1.91528	-0.239559	2.08553	0.741469	2.89248	-0.435473	3.08657	0.541134	3.8781	-0.640846	4.07575	0.335137	4.86983	-0.842056	5.06066	0.135289	5.86587	-1.03163	6.04566	-0.0519939	6.86363	-1.20792	7.03322	-0.226641	7.85984	-1.37632	8.02362	-0.390572
0.53	0.949328	-0.0783211	1.0611	0.90867	1.91457	-0.241375	2.08772	0.738899	2.89084	-0.440826	3.08928	0.53459	3.8749	-0.651303	4.07893	0.323128	4.86441	-0.859983	5.06395	0.115319	5.85783	-1.05979	6.04854	-0.0824129	6.85314	-1.24839	7.03493	-0.269528	7.84743	-1.4297	8.02366	-0.446302
0.54	0.949502	-0.0777871	1.0621	0.908654	1.91412	-0.242397	2.09002	0.737061	2.88922	-0.445563	3.09237	0.528561	3.87161	-0.661785	4.08233	0.310907	4.85891	-0.878125	5.06736	0.0950501	5.84963	-1.08828	6.05138	-0.113368	6.84234	-1.2894	7.03642	-0.31314	7.83442	-1.48392	8.0233	-0.503062
0.55	0.949863	-0.077206	1.06299	0.908757	1.91397	-0.242726	2.0924	0.735861	2.88762	-0.449704	3.09583	0.52303	3.86823	-0.67226	4.08597	0.298513	4.8533	-0.896593	5.07083	0.0743623	5.84124	-1.11718	6.05414	-0.144949	6.83121	-1.33091	7.03769	-0.357439	7.82078	-1.53896	8.02252	-0.560826
0.56	0.950366	-0.0766155	1.0638	0.908916	1.91409	-0.242558	2.09482	0.735127	2.8861	-0.45333	3.0996	0.517921	3.86474	-0.682648	4.08986	0.286052	4.84752	-0.915456	5.07433	0.0531191	5.83263	-1.14658	6.05676	-0.177216	6.81964	-1.37291	7.03874	-0.402443	7.8065	-1.59479	8.02129	-0.61957
