t	x0	y0	x1	y1	x2	y2
2.76	-0.861229	-0.517501	0.877659	-0.496154	-0.00841353	1.00121
2.77	-0.808194	-0.601615	0.925409	-0.408167	-0.105574	0.998714
2.78	-0.744581	-0.677677	0.960053	-0.315477	-0.202114	0.982944
2.79	-0.671917	-0.745423	0.982431	-0.219466	-0.297513	0.954809
2.8	-0.594383	-0.807382	0.996943	-0.122103	-0.391888	0.918624
2.81	-0.514223	-0.864626	1.00554	-0.0243307	-0.48458	0.876328
2.82	-0.430438	-0.914126	1.00497	0.0734591	-0.572735	0.825448
2.83	-0.341613	-0.951915	0.991153	0.170401	-0.652938	0.763314
2.84	-0.248294	-0.978039	0.964782	0.265661	-0.724534	0.691404
2.85	-0.152171	-0.99626	0.930537	0.359253	-0.789776	0.614046
2.86	-0.0543409	-1.00854	0.891177	0.450994	-0.849749	0.533784
2.87	0.0446081	-1.01187	0.844635	0.53884	-0.901473	0.449791
2.88	0.14365	-1.00196	0.787721	0.619828	-0.940785	0.360686
2.89	0.241668	-0.978957	0.720939	0.69309	-0.967572	0.267186
2.9	0.338283	-0.947192	0.647998	0.760496	-0.986036	0.171339
2.91	0.43299	-0.909599	0.571352	0.823181	-0.999136	0.0744263
2.92	0.523497	-0.864438	0.490131	0.87854	-1.00459	-0.0232165
2.93	0.606479	-0.808629	0.40264	0.92247	-0.99792	-0.12102
2.94	0.680679	-0.742732	0.309283	0.954339	-0.978469	-0.218103
2.95	0.748027	-0.670813	0.212147	0.977674	-0.950144	-0.314085
2.96	0.810409	-0.595843	0.112885	0.995071	-0.916167	-0.408586
2.97	0.866147	-0.51711	0.0122782	1.0041	-0.875179	-0.499696
2.98	0.911437	-0.432536	-0.0886354	1.00009	-0.823825	-0.584383
2.99	0.945219	-0.342037	-0.188433	0.982253	-0.761825	-0.661268
3	0.970633	-0.247555	-0.286299	0.954903	-0.69254	-0.731903
3.01	0.990574	-0.150797	-0.381837	0.922086	-0.618811	-0.797909
3.02	1.00328	-0.0523662	-0.473492	0.882998	-0.540152	-0.857457
3.03	1.00423	0.0471644	-0.5585	0.83409	-0.454744	-0.906387
3.04	0.992031	0.146719	-0.635433	0.774516	-0.362791	-0.943103
3.05	0.970126	0.245453	-0.705834	0.707484	-0.266674	-0.970532
3.06	0.942097	0.342757	-0.771833	0.636234	-0.168562	-0.991989
3.07	0.907016	0.436936	-0.832442	0.560594	-0.0693036	-1.00631
3.08	0.86117	0.525081	-0.883943	0.478421	0.0304507	-1.00912
3.09	0.803515	0.605446	-0.924387	0.389173	0.129479	-0.998613
3.1	0.737349	0.679243	-0.956016	0.294703	0.226759	-0.978136
3.11	0.666338	0.748533	-0.981791	0.197125	0.321855	-0.951854
3.12	0.590685	0.812414	-1.00056	0.0974667	0.413788	-0.919641
3.13	0.50831	0.866964	-1.0078	-0.00345799	0.500509	-0.87793
3.14	0.418711	0.909721	-1.00124	-0.104251	0.580683	-0.824993
3.15	0.324125	0.942717	-0.983808	-0.203667	0.655405	-0.763286
